PREFERRED_NAME,LONG_NAME,PREFERRED_DEFINITION,EVS_SOURCE,ORIGIN,DEFINITION_SOURCE,
C143395,Death neonatal,Newborn death occurring during the first 28 days after birth.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143396,Death NOS,Death that cannot be attributed to a CTCAE term associated with Grade 5.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143398,Delayed orgasm,A disorder characterized by sexual dysfunction characterized by a delay in climax.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143400,Delirium,"A disorder characterized by the acute and sudden development of confusion, illusions, movement changes, inattentiveness, agitation, and hallucinations. Usually, it is a reversible condition.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143401,Delusions,"A disorder characterized by false personal beliefs held contrary to reality, despite contradictory evidence and common sense.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143402,Dental caries,"A disorder characterized by the decay of a tooth, in which it becomes softened, discolored and/or porous.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143403,Depressed level of consciousness,A disorder characterized by a decrease in ability to perceive and respond.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143405,Dermatitis radiation,A finding of cutaneous inflammatory reaction occurring as a result of exposure to biologically effective levels of ionizing radiation.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143406,Device related infection,A disorder characterized by an infectious process involving the use of a medical device.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143410,Dry eye,A disorder characterized by dryness of the cornea and conjunctiva.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143411,Dry mouth,A disorder characterized by reduced salivary flow in the oral cavity.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143414,Duodenal hemorrhage,A disorder characterized by bleeding from the duodenum.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143415,Duodenal infection,A disorder characterized by an infectious process involving the duodenum.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143416,Duodenal obstruction,A disorder characterized by blockage of the normal flow of stomach contents through the duodenum.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143417,Duodenal perforation,A disorder characterized by a rupture in the duodenal wall.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143418,Duodenal stenosis,A disorder characterized by a narrowing of the lumen of the duodenum.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143419,Duodenal ulcer,"A disorder characterized by a circumscribed, erosive lesion on the mucosal surface of the duodenal wall.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143420,Dysarthria,A disorder characterized by slow and slurred speech resulting from an inability to coordinate the muscles used in speech.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143421,Dysesthesia,"A disorder characterized by distortion of sensory perception, resulting in an abnormal and unpleasant sensation.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143422,Dysgeusia,A disorder characterized by abnormal sensual experience with the taste of foodstuffs; it can be related to a decrease in the sense of smell.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143423,Dysmenorrhea,A disorder characterized by abnormally painful abdominal cramps during menses.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143424,Dyspareunia,A disorder characterized by painful or difficult coitus.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143425,Dyspepsia,"A disorder characterized by an uncomfortable, often painful feeling in the stomach, resulting from impaired digestion. Symptoms include burning stomach, bloating, heartburn, nausea and vomiting.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143427,Dysphasia,"A disorder characterized by impairment of verbal communication skills, often resulting from brain damage.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143429,"Ear and labyrinth disorders - Other, specify",,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143430,Ear pain,A disorder characterized by a sensation of marked discomfort in the ear.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143431,Edema cerebral,A disorder characterized by swelling due to an excessive accumulation of fluid in the brain.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143432,Edema face,A disorder characterized by swelling due to excessive fluid accumulation in facial tissues.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143433,Edema limbs,A disorder characterized by swelling due to excessive fluid accumulation in the upper or lower extremities.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143434,Edema trunk,A disorder characterized by swelling due to excessive fluid accumulation in the trunk area.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143435,Ejaculation disorder,"A disorder characterized by problems related to ejaculation. This category includes premature, delayed, retrograde and painful ejaculation.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143436,Ejection fraction decreased,The percentage computed when the amount of blood ejected during a ventricular contraction of the heart is compared to the amount that was present prior to the contraction.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143437,Electrocardiogram QT corrected interval prolonged,A finding of a cardiac dysrhythmia characterized by an abnormally long corrected QT interval.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143438,Encephalitis infection,A disorder characterized by an infectious process involving the brain tissue.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143439,Encephalomyelitis infection,A disorder characterized by an infectious process involving the brain and spinal cord tissues.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143441,Endocarditis infective,A disorder characterized by an infectious process involving the endocardial layer of the heart.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143442,"Endocrine disorders - Other, specify",,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143443,Endophthalmitis,A disorder characterized by an infectious process involving the internal structures of the eye.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143444,Enterocolitis infectious,A disorder characterized by an infectious process involving the small and large intestines.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143445,Enterocolitis,A disorder characterized by inflammation of the small and large intestines.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143446,Enterovesical fistula,A disorder characterized by an abnormal communication between the urinary bladder and the intestine.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143447,Epistaxis,A disorder characterized by bleeding from the nose.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143449,Erythema multiforme,A disorder characterized by target lesions (a pink-red ring around a pale center).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143450,Erythroderma,A disorder characterized by generalized inflammatory erythema and exfoliation. The inflammatory process involves > 90% of the body surface area.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143451,Esophageal anastomotic leak,A finding of leakage due to breakdown of an esophageal anastomosis (surgical connection of two separate anatomic structures).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143453,Esophageal hemorrhage,A disorder characterized by bleeding from the esophagus.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143454,Esophageal infection,A disorder characterized by an infectious process involving the esophagus.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143455,Esophageal necrosis,A disorder characterized by a necrotic process occurring in the esophageal wall.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143456,Esophageal obstruction,A disorder characterized by blockage of the normal flow of the contents in the esophagus.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143457,Esophageal pain,A disorder characterized by a sensation of marked discomfort in the esophageal region.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143458,Esophageal perforation,A disorder characterized by a rupture in the wall of the esophagus.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143459,Esophageal stenosis,A disorder characterized by a narrowing of the lumen of the esophagus.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143460,Esophageal ulcer,"A disorder characterized by a circumscribed, erosive lesion on the mucosal surface of the esophageal wall.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143466,Extraocular muscle paresis,A disorder characterized by incomplete paralysis of an extraocular muscle.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143467,Extrapyramidal disorder,"A disorder characterized by abnormal, repetitive, involuntary muscle movements, frenzied speech and extreme restlessness.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143468,"Eye disorders - Other, specify",,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143469,Eye infection,A disorder characterized by an infectious process involving the eye.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143471,Eyelid function disorder,A disorder characterized by impaired eyelid function.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143472,Facial muscle weakness,A disorder characterized by a reduction in the strength of the facial muscles.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143473,Facial nerve disorder,A disorder characterized by dysfunction of the facial nerve (seventh cranial nerve).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143474,Facial pain,A disorder characterized by a sensation of marked discomfort in the face.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143475,Fall,"A finding of sudden movement downward, usually resulting in injury.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143476,Fallopian tube anastomotic leak,A finding of leakage due to breakdown of a fallopian tube anastomosis (surgical connection of two separate anatomic structures).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143479,Fat atrophy,A disorder characterized by shrinking of adipose tissue.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143481,Febrile neutropenia,A disorder characterized by an ANC <1000/mm3 and a single temperature of >38.3 degrees C (101 degrees F) or a sustained temperature of >=38 degrees C (100.4 degrees F) for more than one hour,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143482,Fecal incontinence,A disorder characterized by inability to control the escape of stool from the rectum.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143483,Feminization acquired,A disorder characterized by the development of secondary female sex characteristics in males due to extrinsic factors.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143484,Fetal growth retardation,A disorder characterized by inhibition of fetal growth resulting in the inability of the fetus to achieve its potential weight.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143485,Fever,A disorder characterized by elevation of the body's temperature above the upper limit of normal.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143486,Fibrinogen decreased,A finding based on laboratory test results that indicate an decrease in levels of fibrinogen in a blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143487,Fibrosis deep connective tissue,A disorder characterized by fibrotic degeneration of the deep connective tissues.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143488,Flank pain,A disorder characterized by a sensation of marked discomfort on the lateral side of the body in the region below the ribs and above the hip.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143489,Flashing lights,A disorder characterized by a sudden or brief burst of light.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143491,Floaters,A disorder characterized by an individual seeing spots before their eyes. The spots are shadows of opaque cell fragments in the vitreous humor or lens.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143492,Flu like symptoms,"A disorder characterized by a group of symptoms similar to those observed in patients with the flu. It includes fever, chills, body aches, malaise, loss of appetite and dry cough.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143494,Forced expiratory volume decreased,A finding based on test results that indicate a relative decrease in the fraction of the forced vital capacity that is exhaled in a specific number of seconds.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143496,Gait disturbance,A disorder characterized by walking difficulties.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143497,Gallbladder infection,A disorder characterized by an infectious process involving the gallbladder.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143498,Gastric anastomotic leak,A finding of leakage due to breakdown of a gastric anastomosis (surgical connection of two separate anatomic structures).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143499,Gastric fistula,A disorder characterized by an abnormal communication between the stomach and another organ or anatomic site.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143500,Gastric hemorrhage,A disorder characterized by bleeding from the gastric wall.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143501,Gastric necrosis,A disorder characterized by a necrotic process occurring in the gastric wall.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143502,Gastric perforation,A disorder characterized by a rupture in the stomach wall.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143503,Gastric stenosis,A disorder characterized by a narrowing of the lumen of the stomach.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143504,Gastric ulcer,"A disorder characterized by a circumscribed, erosive lesion on the mucosal surface of the stomach.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143506,Gastroesophageal reflux disease,"A disorder characterized by reflux of the gastric and/or duodenal contents into the distal esophagus. It is chronic in nature and usually caused by incompetence of the lower esophageal sphincter, and may result in injury to the esophageal mucosal. Symptoms include heartburn and acid indigestion.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143507,Gastrointestinal anastomotic leak,A finding of leakage due to breakdown of a gastrointestinal anastomosis (surgical connection of two separate anatomic structures).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143508,"Gastrointestinal disorders - Other, specify",,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143510,Gastrointestinal pain,A disorder characterized by a sensation of marked discomfort in the gastrointestinal region.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143511,Gastrointestinal stoma necrosis,A disorder characterized by a necrotic process occurring in the gastrointestinal tract stoma.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143512,Gastroparesis,A disorder characterized by an incomplete paralysis of the muscles of the stomach wall resulting in delayed emptying of the gastric contents into the small intestine.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143513,"General disorders and administration site conditions - Other, specify",,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143514,Generalized muscle weakness,A disorder characterized by a reduction in the strength of muscles in multiple anatomic sites.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143515,Genital edema,A disorder characterized by swelling due to an excessive accumulation of fluid in the genitals.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143516,GGT increased,"A finding based on laboratory test results that indicate higher than normal levels of the enzyme gamma-glutamyltransferase in the blood specimen. GGT (gamma-glutamyltransferase ) catalyzes the transfer of a gamma glutamyl group from a gamma glutamyl peptide to another peptide, amino acids or water.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143518,Glossopharyngeal nerve disorder,A disorder characterized by dysfunction of the glossopharyngeal nerve (ninth cranial nerve).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143519,Glucose intolerance,A disorder characterized by an inability to properly metabolize glucose.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143520,Growth accelerated,A disorder characterized by greater growth than expected for age.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143521,Growth hormone abnormal,A finding based on laboratory test results that indicate abnormal levels of growth hormone in a biological specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143522,Growth suppression,A disorder characterized by stature that is smaller than normal as expected for age.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143523,Gum infection,A disorder characterized by an infectious process involving the gums.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143525,Hallucinations,A disorder characterized by a false sensory perception in the absence of an external stimulus.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143526,Haptoglobin decreased,A finding based on laboratory test results that indicate an decrease in levels of haptoglobin in a blood specimen.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143527,Headache,"A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143528,Hearing impaired,A disorder characterized by partial or complete loss of the ability to detect or understand sounds resulting from damage to ear structures.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143529,Heart failure,"A disorder characterized by the inability of the heart to pump blood at an adequate volume to meet tissue metabolic requirements, or, the ability to do so only at an elevation in the filling pressure.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143531,Hematosalpinx,A disorder characterized by the presence of blood in a fallopian tube.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143532,Hematuria,A disorder characterized by laboratory test results that indicate blood in the urine.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143533,Hemoglobin increased,A finding based on laboratory test results that indicate increased levels of hemoglobin above normal.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143536,Hemolytic uremic syndrome,"A disorder characterized by a form of thrombotic microangiopathy with renal failure, hemolytic anemia, and severe thrombocytopenia.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143537,Hemorrhoidal hemorrhage,A disorder characterized by bleeding from the hemorrhoids.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143539,Hepatic failure,"A disorder characterized by the inability of the liver to metabolize chemicals in the body. Laboratory test results reveal abnormal plasma levels of ammonia, bilirubin, lactic dehydrogenase, alkaline phosphatase, aminotransferase, and/or prolongation of prothrombin time (INR.) Drug-induced liever injury (DILI) as defined by Hy's Law.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143540,Hepatic hemorrhage,A disorder characterized by bleeding from the liver.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143541,Hepatic infection,A disorder characterized by an infectious process involving the liver.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143542,Hepatic pain,A disorder characterized by a sensation of marked discomfort in the liver region.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143543,Hepatitis viral,A disorder characterized by a viral pathologic process involving the liver parenchyma.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143544,"Hepatobiliary disorders - Other, specify",,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143545,Hiccups,A disorder characterized by repeated gulp sounds that result from an involuntary opening and closing of the glottis. This is attributed to a spasm of the diaphragm.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143546,Hip fracture,"A finding of traumatic injury to the hip in which the continuity of either the femoral head, femoral neck, intertrochanteric or subtrochanteric regions is broken.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143547,Hirsutism,"A disorder characterized by the presence of excess hair growth in women in anatomic sites where growth is considered to be a secondary male characteristic and under androgen control (beard, moustache, chest, abdomen).",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143548,Hoarseness,A disorder characterized by harsh and raspy voice arising from or spreading to the larynx.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143549,Hot flashes,"A disorder characterized by an uncomfortable and temporary sensation of intense body warmth, flushing, sometimes accompanied by sweating upon cooling.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143551,Hypercalcemia,A disorder characterized by laboratory test results that indicate an elevation in the concentration of calcium (corrected for albumin) in blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143552,Hyperglycemia,A disorder characterized by laboratory test results that indicate an elevation in the concentration of blood sugar. It is usually an indication of diabetes mellitus or glucose intolerance.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143553,Hyperhidrosis,A disorder characterized by excessive sweating.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143554,Hyperkalemia,A disorder characterized by laboratory test results that indicate an elevation in the concentration of potassium in the blood; associated with kidney failure or sometimes with the use of diuretic drugs.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143555,Hypermagnesemia,A disorder characterized by laboratory test results that indicate an elevation in the concentration of magnesium in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143556,Hypernatremia,A disorder characterized by laboratory test results that indicate an elevation in the concentration of sodium in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143557,Hyperparathyroidism,A disorder characterized by an increase in production of parathyroid hormone by the parathyroid glands. This results in hypercalcemia (abnormally high levels of calcium in the blood).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143558,Hypersomnia,A disorder characterized by characterized by excessive sleepiness during the daytime.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143560,Hyperthyroidism,A disorder characterized by excessive levels of thyroid hormone in the body. Common causes include an overactive thyroid gland or thyroid hormone overdose.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143561,Hypertrichosis,"A disorder characterized by hair density or length beyond the accepted limits of normal in a particular body region, for a particular age or race.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143562,Hypertriglyceridemia,A disorder characterized by laboratory test results that indicate an elevation in the concentration of triglyceride concentration in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143563,Hyperuricemia,A disorder characterized by laboratory test results that indicate an elevation in the concentration of uric acid.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143564,Hypoalbuminemia,A disorder characterized by laboratory test results that indicate a low concentration of albumin in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143565,Hypocalcemia,A disorder characterized by laboratory test results that indicate a low concentration of calcium (corrected for albumin) in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143566,Hypoglossal nerve disorder,A disorder characterized by dysfunction of the hypoglossal nerve (twelfth cranial nerve).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143567,Hypoglycemia,A disorder characterized by laboratory test results that indicate a low concentration of glucose in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143568,Hypohidrosis,A disorder characterized by reduced sweating.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143569,Hypokalemia,A disorder characterized by laboratory test results that indicate a low concentration of potassium in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143570,Hypomagnesemia,A disorder characterized by laboratory test results that indicate a low concentration of magnesium in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143571,Hyponatremia,A disorder characterized by laboratory test results that indicate a low concentration of sodium in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143572,Hypoparathyroidism,A disorder characterized by a decrease in production of parathyroid hormone by the parathyroid glands.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143573,Hypophosphatemia,A disorder characterized by laboratory test results that indicate a low concentration of phosphates in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143576,Hypothyroidism,A disorder characterized by a decrease in production of thyroid hormone by the thyroid gland.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143578,Ileal stenosis,A disorder characterized by a narrowing of the lumen of the ileum.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143580,"Immune system disorders - Other, specify",,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143581,"Infections and infestations - Other, specify",,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143582,Infective myositis,A disorder characterized by an infectious process involving the skeletal muscles.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143583,Infusion related reaction,A disorder characterized by adverse reaction to the infusion of pharmacological or biological substances.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143584,Infusion site extravasation,"A disorder characterized by leakage of the infusion into the surrounding tissue. Signs and symptoms may include induration, erythema, swelling, burning sensation and marked discomfort at the infusion site.",NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143585,Injection site reaction,A disorder characterized by an intense adverse reaction (usually immunologic) developing at the site of an injection.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143586,Injury to carotid artery,A finding of damage to the carotid artery.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143587,Injury to jugular vein,A finding of damage to the jugular vein.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143588,Injury to superior vena cava,A finding of damage to the superior vena cava.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143589,"Injury, poisoning and procedural complications - Other, specify",,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143590,INR increased,A finding based on laboratory test results that indicate an increase in the ratio of the patient's prothrombin time to a control sample in the blood.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143592,Intestinal stoma leak,A finding of leakage of contents from an intestinal stoma (surgically created opening on the surface of the body).,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143593,Intestinal stoma obstruction,A disorder characterized by blockage of the normal flow of the contents of the intestinal stoma.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143594,Intestinal stoma site bleeding,A disorder characterized by bleeding from the intestinal stoma.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143595,Intra-abdominal hemorrhage,A disorder characterized by bleeding in the abdominal cavity.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143596,Intracranial hemorrhage,A disorder characterized by bleeding from the cranium.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143597,Intraoperative arterial injury,A finding of damage to an artery during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143598,Intraoperative breast injury,A finding of damage to the breast parenchyma during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143599,Intraoperative cardiac injury,A finding of damage to the heart during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143600,Intraoperative ear injury,A finding of damage to the ear during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143601,Intraoperative endocrine injury,A finding of damage to the endocrine gland during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143602,Intraoperative gastrointestinal injury,A finding of damage to the gastrointestinal system during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143603,Intraoperative head and neck injury,A finding of damage to the head and neck during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143604,Intraoperative hemorrhage,A finding of uncontrolled bleeding during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143605,Intraoperative hepatobiliary injury,A finding of damage to the hepatic parenchyma and/or biliary tract during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143606,Intraoperative musculoskeletal injury,A finding of damage to the musculoskeletal system during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143607,Intraoperative neurological injury,A finding of damage to the nervous system during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143608,Intraoperative ocular injury,A finding of damage to the eye during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
C143609,Intraoperative renal injury,A finding of damage to the kidney during a surgical procedure.,NCI_CONCEPT_CODE,NCI Thesaurus,NCI,NCI
